vendor_id,name,contact_email,created_at
VEND001,Tech Supplier,tech@vendor.com,2025-07-27 12:00:00
VEND002,Fashion Co,fashion@vendor.com,2025-07-27 12:00:00
VEND003,Electronics Ltd,electronics@vendor.com,2025-07-27 12:00:00
VEND004,Gadget World,gadget@vendor.com,2025-07-27 12:00:00
VEND005,Clothing Inc,clothing@vendor.com,2025-07-27 12:00:00
VEND006,Tech Innovations,innovations@vendor.com,2025-07-27 12:00:00
VEND007,Style Hub,style@vendor.com,2025-07-27 12:00:00
VEND008,Device Pros,device@vendor.com,2025-07-27 12:00:00
VEND009,Fashion Trends,trends@vendor.com,2025-07-27 12:00:00
VEND010,Gizmo Supply,gizmo@vendor.com,2025-07-27 12:00:00
